mobile_name,rating,ram_rom,display,camera,battery,processor,price,mobile_link
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)",4.5,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) HD Display,32MP + 2MP | 8MP Front Camera,5100 mAh Battery,Dimensity 6300 Processor,"₹12,999",https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-breeze-blue-128-gb/p/itma30cb38861d4c?pid=MOBH2Q4PN6FWZCGV&lid=LSTMOBH2Q4PN6FWZCGVPMAT2I&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&iid=en_T6DTM4cnveeFpWeJMzUSEYiXUWoXWjskKVAk8A7lhXIwMs6fOQzaHQAwB_TBBL60YoDF7dxLF8c1YV_vKzMizw%3D%3D&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"CMF by Nothing Phone 1 (Black, 128 GB)",4.4,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Dimensity 7300 5G Processor,"₹14,999",https://www.flipkart.com/cmf-nothing-phone-1-black-128-gb/p/itmeef68c7ce70bf?pid=MOBHYBQTGGEGGA2B&lid=LSTMOBHYBQTGGEGGA2BCRTZZY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&iid=en_T6DTM4cnveeFpWeJMzUSEYiXUWoXWjskKVAk8A7lhXKxmPtH6sImqCu9CPO0LlgZgi6Hodo3Bki0WaFpVxKm-_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Apple iPhone 15 (Black, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹57,999",https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WVZNSC6&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&fm=search-autosuggest&iid=ab4dbeac-a0ba-4978-be86-417909ce56b7.MOBGTAGPTB3VS24W.SEARCH&ppt=sp&ppn=sp&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Motorola g45 5G (Brilliant Blue, 128 GB)",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery,Snapdragon 6s Gen 3 Processor,"₹11,999",https://www.flipkart.com/motorola-g45-5g-brilliant-blue-128-gb/p/itm1decbdd265f94?pid=MOBH3YKQT2HEAPAM&lid=LSTMOBH3YKQT2HEAPAMKGOCTP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&iid=ab4dbeac-a0ba-4978-be86-417909ce56b7.MOBH3YKQT2HEAPAM.SEARCH&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Nothing Phone (2a) Plus (Black, 256 GB)",4.4,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 50MP | 50MP Front Camera,5000 mAh Battery,Dimensity 7350 Pro 5G Processor,"₹27,999",https://www.flipkart.com/nothing-phone-2a-plus-black-256-gb/p/itm0c99b11bfe22d?pid=MOBH322WW3NZ5HRY&lid=LSTMOBH322WW3NZ5HRYQF8TQZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&iid=en_T6DTM4cnveeFpWeJMzUSEYiXUWoXWjskKVAk8A7lhXJyXpYwlkqX5It62zS6eXko7vdxcDDaHYnr5Qa-RHN31_UFjCTyOHoHZs-Z5_PS_w0%3D&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Motorola g64 5G (Mint Green, 256 GB)",4.2,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery,Dimensity 7025 Processor,"₹14,999",https://www.flipkart.com/motorola-g64-5g-mint-green-256-gb/p/itm03d965c2f47ac?pid=MOBGY2JUPSSWCZEJ&lid=LSTMOBGY2JUPSSWCZEJGIY3BS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&iid=ab4dbeac-a0ba-4978-be86-417909ce56b7.MOBGY2JUPSSWCZEJ.SEARCH&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Motorola G85 5G (Olive Green, 128 GB)",4.5,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5000 mAh Battery,6s Gen 3 Processor,"₹16,999",https://www.flipkart.com/motorola-g85-5g-olive-green-128-gb/p/itm1c4b849213a0e?pid=MOBHY9PQMNCMDVCD&lid=LSTMOBHY9PQMNCMDVCDI6UUHQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&iid=ab4dbeac-a0ba-4978-be86-417909ce56b7.MOBHY9PQMNCMDVCD.SEARCH&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)",4.2,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Lithium Ion Battery,Exynos 1330 Processor,"₹10,999",https://www.flipkart.com/samsung-galaxy-a14-5g-light-green-128-gb/p/itmabe91abe7ba0c?pid=MOBGHT8UU3STRKZS&lid=LSTMOBGHT8UU3STRKZSI7GOCK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&iid=ab4dbeac-a0ba-4978-be86-417909ce56b7.MOBGHT8UU3STRKZS.SEARCH&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Motorola Edge 50 Fusion (Hot Pink, 128 GB)",4.5,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,7s Gen 2 Processor,"₹20,999",https://www.flipkart.com/motorola-edge-50-fusion-hot-pink-128-gb/p/itmfee7de3c2e095?pid=MOBGXTYZCQSXJPC2&lid=LSTMOBGXTYZCQSXJPC2WFIGOL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&iid=ab4dbeac-a0ba-4978-be86-417909ce56b7.MOBGXTYZCQSXJPC2.SEARCH&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
"Apple iPhone 15 (Pink, 128 GB)",4.6,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹57,999",https://www.flipkart.com/apple-iphone-15-pink-128-gb/p/itm7579ed94ca647?pid=MOBGTAGPNMZA5PU5&lid=LSTMOBGTAGPNMZA5PU51YWTGZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_6_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_6_0_na_na_na&iid=ab4dbeac-a0ba-4978-be86-417909ce56b7.MOBGTAGPNMZA5PU5.SEARCH&ssid=47ad98mqkg0000001728142629191&qH=eb4af0bf07c16429
