rating,review_title,review_content,Model,Price,Unnamed: 0
5,Great product,Nice camera but battery drain fast specially on video recording,iphone,51999.0,
5,Excellent,Just amazing!,iphone,51999.0,
5,Fabulous!,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome
50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy
See Low light photos are amazing..",iphone,51999.0,
5,Just wow!,Good,iphone,51999.0,
5,Excellent,"Very nice product, camera quality is just amazing everything seems too real.
Phone is very fast.",iphone,51999.0,
5,Great product,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.",iphone,51999.0,
5,Best in the market!,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.",iphone,51999.0,
5,Best in the market!,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone",iphone,51999.0,
5,Awesome,"Reasons to get it over regular 13
- 50 percent extra ram
- Better camera sensors
- Cinematic mode at 4k 30 fps (13 could only do 1080p 30fps)
- Action mode for super stabilised videos
- Better low light photos thanks to photonic engine
- Better battery life
- Extra gpu core for high graphics performance
- New improved modem for fast and efficient mobile connectivity
- Dual ambient light sensors
- Better camera flash
- Crash detection
- Satellite connectivity (though currently not in I...
READ MORE",iphone,51999.0,
5,Must buy!,"The best camera best design !!
1st iphone 14 !!
i tried all conditions light photo
the quality is best i was impressed with device
battery backup is good
perform is very impressive 🔥",iphone,51999.0,
5,Worth every penny,Amazing picture quality❤️👌🏼👌🏼,iphone,51999.0,
5,Must buy!,"Just awesome....❤️🙌😌
Display Camera Battery Processor....
JUST WOW....✨💗☺️",iphone,51999.0,
5,Simply awesome,Loved it 👍,iphone,51999.0,
5,Terrific purchase,Thanku filipkart best phone in the world ❤️,iphone,51999.0,
5,Perfect product!,Good,iphone,51999.0,
5,Awesome,Love the camera💖🥰,iphone,51999.0,
5,Best in the market!,Performance is really good and camera quality is fine,iphone,51999.0,
4,Very Good,Nice UI and Fast,iphone,51999.0,
4,Good quality product,Awesome 👍,iphone,51999.0,
5,Mind-blowing purchase,Just perfect!!,iphone,51999.0,
5,Fabulous!,sound quality is very good 👍,iphone,51999.0,
5,Terrific,Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 👍,iphone,51999.0,
5,Just wow!,Amazing!pictures...📸 everything good 😍,iphone,51999.0,
5,Classy product,Camera is superb.nice phone,iphone,51999.0,
5,Just wow!,"I used iPhone 12 mini and now upgraded with iPhone 14.
Camera quality is awesome.
Full day battery backup.
Super Retina display with high dynamic range is awesome.

In terms of camera and battery life is big upgrade for me.",iphone,51999.0,
5,Excellent,Finally got an iPhone. Love the camera.,iphone,51999.0,
5,Perfect product!,Super camera.,iphone,51999.0,
4,Good choice,Unboxing overall good experience 😊,iphone,51999.0,
5,Must buy!,After a losts of efforts when you get then Just Awesome 😊,iphone,51999.0,
5,Highly recommended,Ultimate,iphone,51999.0,
5,Wonderful,"Amazing product, love the design and the feel is awesome
Performance is very smooth.",iphone,51999.0,
5,Mind-blowing purchase,Amazing device for daily life about camera about sound quality all are good,iphone,51999.0,
4,Good quality product,Nice look badiya phone after one year use great working,iphone,51999.0,
5,Terrific purchase,Just wow😍😘,iphone,51999.0,
5,Terrific,"I bought iPhone 14 in big billion days. Very happy. Excellent Product delivery
Excellent haptics
Excellent Performance
Excellent Camera
Excellent In hand feel
Excellent Eco System if u have other apple products
❤️ From Ooty

Thank you Flipkart for the big billion days 🎉",iphone,51999.0,
