,rating,review_title,review_content
0,5,Just wow!,everything is very good
1,4,Delightful,Worth it decent phone camera need software update
2,5,Best in the market!,"Camera good
Display 👍"
3,5,Simply awesome,Camera is very good and battery backup is very good
4,4,Very Good,Good product like a camera chargeing speed and degin
5,4,Worth the money,Awesome
6,5,Wonderful,Good
7,5,Worth every penny,This is good 👍🏻👍🏻 product of one plus .... Camera and sound to good and also battery life
8,5,Best in the market!,One plus CE3 lite.. What a brilliant concept.. I loved it.. Super display quality.. Best battery backup.. Fast charging with 80w... Superb performance.. Very smoothly working pubg game.. And camera is ok from this price.. Totally i love this one plus phone... Thanks🤩
9,5,Wonderful,Good
10,5,Simply awesome,"Camera quality excellent, battery very good, performance very good, overall phone quality is very good 😊 I love it ❤️"
11,5,Perfect product!,Good quality OnePlus Nord ce3 lite 👍
12,5,Just wow!,Good
13,4,Good choice,The only problem I found with this phone is that call recording lets the caller know.😑 Otherwise it's fantastic mobile.
14,5,Great product,Loved It
15,5,Best in the market!,very good product
16,4,Delightful,"VERY GOOD PRODUCT
THANK YOU FLIPKART
❤️❤️"
17,5,Great product,Thanks Flipkart and oneplus overall is best in best' love it this phone is best for your future life and all of them.
18,5,Fabulous!,Nice
19,5,Awesome,Super mobile
20,5,Super!,Good product good Quality best porfomanance
21,5,Classy product,Super 🤩
22,5,Worth every penny,"Nice camera, Thanks Flipkart"
23,5,Perfect product!,Nice phone
24,5,Perfect product!,Phone Is Good 👍 Better performance
25,4,Delightful,My first one plus mobile feeling very happy.Must buy amazing product.
26,4,Good choice,Good mobile
27,5,Awesome,Good product
28,5,Excellent,"Unbeatable value for its price, this mobile delights users with a larger size, stunning display, and worry-free daily usage, thanks to its cool operation."
29,4,Worth the money,It's gorgeous product
30,5,Excellent,That's is awesome 👍
31,5,Awesome,"Mobile is absolutely cool, it is fun to take mobile"
32,5,Just wow!,Very nice Product mobile
33,5,Super!,One plus nice
34,5,Excellent,"Omg so beautiful😍✨
Worth it
I just request to deliver fast and I got 3 days before. Thank you flipkart 🙏🏻🫂.
Camera - 4
Battery - 4.5
Overall good
It aslo support double video mode"
35,4,Good quality product,Charging speed is very fast. Camera quality is good.service is very fast .totaly is nice one
36,4,Really Nice,At that price good phone
37,5,Simply awesome,Awesome 😎👍👍
38,5,Must buy!,Camera is awesome😊!!!
39,5,Brilliant,"Look -90%
Display quality -95%
Sound quality feel Dolby Atmos
Bettery - 70%
Rear camera average quality 100/65%
Front camera amazing 🤩"
40,5,Must buy!,camera good Has and battery backup good fast charging
41,5,Terrific,"awesome camera quality and beauitful to use cellphone smoothly working ,📱"
42,5,Awesome,Best Mobile 💚
43,5,Classy product,Superb quality 🥰
44,5,Awesome,Nice phone
45,5,Simply awesome,"Camera good
Phone looking nice ❤️
Charge in 55 minute"
46,5,Super!,AMAZING
47,5,Best in the market!,Nice 👍
48,5,Wonderful,"Superb camera...👌👌👌
Superb battery...👌👌👌"
49,4,Delightful,"I am really happy thanks for OnePlus
Phone is looking very good 👍
And all is very good"
50,3,Nice,nice 👍 but could have been best.
51,4,Value-for-money,"Nice phone
worth for money
Camera and performance good as well"
52,5,Excellent,Camera is very powerful
53,5,Classy product,Superb 🙂🙂
54,5,Highly recommended,Good
55,5,Highly recommended,Fantastic phone
56,5,Classy product,Camara is very good
57,5,Mind-blowing purchase,"I am writing here after one week of experience, good phone at this price.
Camera, Battery backup, phone speed all things are awesome.
I want to highlight one thing in description there is mention that audio jack is not available but in real it has 3.5mm audio jack kindly take care of description error"
58,5,Must buy!,"Superb
I am so happy 😊 😊"
59,5,Worth every penny,Good product really good.
60,5,Excellent,"Absolutely perfect..phone
Awesome camera quality
Charging speed 👌"
61,4,Nice product,Camera is too good 👍.
62,3,Decent product,Very beautiful
63,5,Super!,This price batter phone OnePlus Nord ce3 lite
64,3,Just okay,Phone is outstanding but camera is very bad
65,5,Simply awesome,Good mobile camera battery performance Good value for money
66,3,Fair,Amazing
67,5,Excellent,Good 😊
68,5,Must buy!,"The OnePlus Nord CE 3 Lite impresses with its sleek design, featuring a stunning AMOLED display that delivers vibrant colors and sharp contrast. Its Snapdragon processor ensures smooth multitasking and gaming, while the 5G connectivity future-proofs your device for faster data speeds. The camera setup captures decent photos in various lighting conditions, although it might struggle in low light compared to flagship devices. With a generous battery capacity and Warp Charge technology, you can ...
READ MORE"
69,5,Brilliant,Good
70,4,Nice product,Good design is very good if it's not great. The performance is very good but if the camera is not very good then it will go away The mobile is very good in this price range.
71,5,Great product,Nice camera 😍
72,4,Wonderful,Nice one
73,5,Terrific purchase,"After 5 days used experience was perfect 💯
I like potrait pictures 🌟
Battery 🔋 back up in 0-100% is 24hr +
Gaming la lea awesome 👍
120hz display awesome 🔥"
74,5,Great product,Good 👍
75,4,Very Good,Everything is Good overall best experience with OnePlus
76,5,Mind-blowing purchase,Good looking and nice smooth working 🤩 lovely 🌹
77,4,Value-for-money,"Well, If You are not a Pro Camera User then you will have No issue with this device. For Most Of the General User It is more than good Enough.

1. Battety is Very Good

2. Display is Good Enough, You're trading Amoled Display for the Oneplus Brand name here. Do, remember that.The Build of the Phone is very good, You will feel that immediately once you grab it on your hand.

3. OS and other system functions flawlessly(You will Have a premium experience here for sure), although Not a Pro gami...
READ MORE"
78,5,Nice product,"Display is average, No official One Plus Apps Store, Everywhere is displaying Ads even in calendar, Basic Apps are not there, MIUI from RedMi is much better than OxygenOS.
Charging is Fast, Camera is average, Design is Awesome."
79,5,Excellent,Nice pic
80,4,Good choice,"Absolutely nice right now, but I heard from some one that after software UI updation one plus hanset's screen liner used to be happened so I feel little scared of it, will it really happened or not? Can I know the result?"
81,5,Terrific purchase,Good 👍👍👍
82,5,Great product,Super
83,5,Must buy!,Don't trust the camera quality details.not well as expected.rest of the features are well and nice one
84,5,Fabulous!,Awesome
85,4,Really Nice,NYC phone review after 8 days.
86,5,Fabulous!,Camera quality is not good as expected. Battery backup is nice. Design and OS is best. Phone performance is very good till now. After few days if there will not be any hanging problem it will be best.
87,3,Decent product,Happy
88,4,Good quality product,"It's okay for the price and configuration. Was using realme 6 with 8 GB Ram which was slightly better in performance.
There are no major heating issues sometimes it's becoming warm. Overall a nice phone but could have been better."
89,4,Good choice,The design and display is good. Camera quality avg. Overall good.
