,rating,review_title,review_content
0,5,Great product,Camera quality is super but sometimes need to improve image quality.... As like live photos..... And also need to improve the over explosure of camera when heavy light condition ..... Other mobile is super ... No lag issue ... Display is awesome... Battery backup super minimum 8 hours of sreen on time.... Sound is very decent loud and clear audio... Haptics are very good
1,5,Highly recommended,"Best camera and value for money, loved the display, sound quality is so immersive and also the night photo is so good ..as well the videography of the Phone is addictive...I played pubg..it does get heated but it's bearable. Overall loved this Phone..and whoever is watching this, you shouldn't miss the opportunity that this phone is providing, go grab it😉"
2,5,Classy product,"I didn't Expect this gt 2 pro performance.bcos iam using this since 2 months,So Frist i will talk about Camera, The microscope cam is take Very good clear picture and the cam was doing supb photos i shall give rating 5*****😊"
3,5,Wonderful,It's top class mobile in that range. The best part is Camera and display. A true flagship Mobile from Realme! Premium feels!
4,5,Mind-blowing purchase,Great camara. I love micro pics of sand particles with the size of 1 mm
5,5,Just wow!,Great phone on this price range.Realme users will love it.
6,4,Worth the money,"Finally Realme has comes up with this good looking and great device with awesome display and very good camera
Pros-
1. Great mesmerizing 2k LTPO display seems flawless. And gives great viewing experience
2. Very good camera and after the Android 13 update camera gives me great photograph especially in low low light conditions.
3. Sound experience is also awesome.
4. Smooth display
Cons-
1. Battery back up is not up to the mark.
2.Gimmick camera lens i.e Microscope lens should have been avoid...
READ MORE"
7,5,Fabulous!,"Pro's-
*Display feels very premium
*Top notch Performance
*50+50 cameras are stunning
*Charging speed is good
Cons -
*Battery drains fast
*Disappointed with selfie camera
*Little heating issue."
8,4,Delightful,"This device is just perfect.
Camera is amazing 😍.
Display is super gorgeous and super smooth.
Design is also very good.
Connectivity is very good.
Except it's battery 🔋 backup 🙂
When this device is at room temperature it could give me supergood backup of upto 8 to 10 hours easily but at hot temperature it gave me aroud 6 hours max 🥺 only and battery is also draining overnight, hope they will fix this through update .
Overall this is really good device loved it 🥹."
9,5,Did not meet expectations,"Everything is awesome but Heat you couldn't bare, I thought I could adjust the heating issue by normal usage but for normal usage too this phone is heating for just a 2 or 5 min camera usage Heats boils your hand which you couldn't handle but with regretting your decision of choosing this even after so many have previously reported about the heating issue 😔.
Worst phone bought 3 days ago didn't know what to do further"
10,5,Simply awesome,"Amazing value for money phone. Loved the display and experience, loved the camera specially the microscopic camera, loved the speed.
OnePlus 10 pro has the same features but looking at the price point, this is a good deal."
11,3,Does the job,"Nice phone My experience to Realme phone first buying ; shareing My review
Pros:Camera (8-10) Rating Not a Telephoto lens
Perfomance (10-10)
Display (9-10)
Battery (8-10) 8.5 hour shot to 60hrz
Cons : Battery draining issue"
12,3,Does the job,"Feels like 1+ phone.
But the battery backup is poor.After Full charge it lasted around 4hr15mins. Bought this because old phone had battery drain issue, but this one is draining faster. The advantage is, it charges in 35mins.
I Thought that 2k display,120fps are the reasons for the drain , so I have set them to auto adjust mode , but still the battery drains in the same way....
Also you'll notice that battery drops a lot , even when it is left idle.
Don't know if it's the problem with the 8g...
READ MORE"
13,5,Brilliant,"Really good all rounder phone for the price.

Below are the things that stood out to me while using the phone.

[Pros]
- Really good display(2k with ltpo amoled)
- Superb performance, havent seen a single stutter or lag yet(thanks to flagship chipset and optimized os)
- Amazing haptics
- Good fingerprint scanner, really fast
- Fast charger and case in the box, charging speed is good(fully charging from 0 in 30mins or so)
- Os is good(android 12), bit bloated at first i.e. pre-installed apps.(...
READ MORE"
14,5,Must buy!,"I am using this phone for almost 2 weeks and I would like to share some of my opinions regarding that phone. I was very fascinated about that phone. Now point by point I would like to go.
Camera - Excellent Camera specially that microscope which is quite outstanding, captured even very small tip of a needle.
Display - a 2k Amoled ltpo 2 display, Outstanding display.
No need to comment on outstanding Snapdragon 8 gen 1 processor's capabilities.
Battery - although I am pretty much satisfied a...
READ MORE"
15,5,Terrific purchase,"You get more than what you pay for.
Software:
The UI is not fancy but much more practical than one UI or Funtouch OS. Also there's no noticeable bugs.
The memory management is commendable when you lock your most used apps.
Build:
The phone is beautiful. I got the paper white.
Sound:
The speaker hardwares are cheap but the Dolby Atmos has pushed them to perfection.
Vibration:
The haptic engine feels so satisfying.
Display:
Pretty underwhelming. The QHD+ display pales in front of my mom's S22 i...
READ MORE"
16,5,Worth every penny,Worth for 28000.00 must buy.
17,3,Good,Overall a good product however some time feels sluggish response and battery draining too fast gives you 6-7 hr screen on time. Camera is ok
18,5,Terrific,Overall a decent product . 35 mins to take full charge . Display is amazing ( 2 k ltpo amoled). cameras are good (expecting better because this is flagship). . Haptics are nice. Little bit warm while playing heavy games but cool down rapidly because of large cooling chamber.
19,5,Perfect product!,"Best phone under 50000. If someone wants to buy then go for it. The battery is good, once fully charged it can go for one full day. Based on use. Best part of this phone is its display, camera and performance."
20,5,Terrific,"Very beautifully designed phone. Camera is very good getting very good photos. Battery of okay but it's been 4 days usage and will get better with AI. Display is the best and best in performance.

Edit: After 10 days usage battery life has improved and Camera keeps on impressing with shots..."
21,5,Classy product,"Value for money smartphone with top quality performance, camera and display! I really loved the microscope camera.
The only con for me is the heating issue."
22,4,Nice product,"Great phone with minor cavities.

Pros

1. Display - Lives up to the numbers. One of the greatest displays and the greatest in this price range. Period.
2. Camera - Surprisingly good. Usable right out of the gallery. Ready to post levels of detail and color science.
3. Battery - 5000mah provides Solid 6 hours SoT even on a heavy day. 8Gen1 does feel hungry all the time but once the phone understands your usage and charging pattern, it gets better.
4. Build Quality - Light weight and slim bu...
READ MORE"
23,4,Value-for-money,Amazing phone
24,5,Simply awesome,"It is an excellent overall package at this price range of 28k. I am putting this review after 3 days of usage. Good camera, excellent display and performance. Lots of people are complaining about battery and heating but for me I have not found any issue. I am getting avg sot of 6 to 6.5 hours. My usage are multimedia consumption, social media browsing and clicking few photos and videos. I am not a gamer so can't comment about it. I would highly recommend for user whose requirements are simila...
READ MORE"
25,5,Fabulous!,Superb phone nice design
26,5,Wonderful,"Super fast performance.
This phone provides me full 1 day battery backup as per my usage.
The camera is also good.
It capture great images with its primary camera and Ultrawide camera is also captures good pictures.
Microscopic camera is fun to use but if it has telephoto lens will be an added advantage.
Come to display, so this is flagship LTPO 2.0 display with 2k resolution is something great to have.
Dual speakers with Dolby Atmos are loud enough.
Performance with SD 8 Gen 1 is so snappy a...
READ MORE"
