rating,review_title,review_content,Sentiment_Score,Sentiment
5,Great product,Nice camera but battery drain fast specially on video recording,0.8,Positive
5,Excellent,Just amazing!,1.0,Positive
5,Fabulous!,"Best smart phone under this price range compare to other phones in 2023 if you see overall build quality, performance and Camera with autofocus and video action mode are awesome
50% extra RAM compared to iPhone 13 and other more features. Best time to upgrade to iPhone 14 . I am so happy
See Low light photos are amazing..",0.5,Positive
5,Just wow!,Good,0.125,Positive
5,Excellent,"Very nice product, camera quality is just amazing everything seems too real.
Phone is very fast.",1.0,Positive
5,Great product,"Damn such a great phone. Camera is really good, battery lasts long enough, super smooth even though its just 60 hz XDR display. Videos with action mode on are insanely stable and crisp.The night mode can take some really good shots jn low light conditions .The whole apple environment itself is so seamless. I shifted from android to iPhone and it barely took any time since I had iPad and a mac already. With a just a few clicks the phone was ready to go.",0.8,Positive
5,Best in the market!,"Excellent smart phone, Good battery backup and performance is very good, Good camera quality.",1.0,Positive
5,Best in the market!,"Amazing picture quality, awesome design, mind blowing display and fabulous performance and specially very handy phone",1.0,Positive
5,Awesome,"Reasons to get it over regular 13
- 50 percent extra ram
- Better camera sensors
- Cinematic mode at 4k 30 fps (13 could only do 1080p 30fps)
- Action mode for super stabilised videos
- Better low light photos thanks to photonic engine
- Better battery life
- Extra gpu core for high graphics performance
- New improved modem for fast and efficient mobile connectivity
- Dual ambient light sensors
- Better camera flash
- Crash detection
- Satellite connectivity (though currently not in I...
READ MORE",1.0,Positive
5,Must buy!,"The best camera best design !!
1st iphone 14 !!
i tried all conditions light photo
the quality is best i was impressed with device
battery backup is good
perform is very impressive 🔥",0.0,Neutral
5,Worth every penny,Amazing picture quality❤️👌🏼👌🏼,0.3,Positive
5,Must buy!,"Just awesome....❤️🙌😌
Display Camera Battery Processor....
JUST WOW....✨💗☺️",0.0,Neutral
5,Simply awesome,Loved it 👍,1.0,Positive
5,Terrific purchase,Thanku filipkart best phone in the world ❤️,0.0,Neutral
5,Perfect product!,Good,1.0,Positive
5,Awesome,Love the camera💖🥰,1.0,Positive
5,Best in the market!,Performance is really good and camera quality is fine,1.0,Positive
4,Very Good,Nice UI and Fast,0.9099999999999999,Positive
4,Good quality product,Awesome 👍,0.7,Positive
5,Mind-blowing purchase,Just perfect!!,0.0,Neutral
5,Fabulous!,sound quality is very good 👍,0.5,Positive
5,Terrific,Iphone 14 Nothing to say about it.... too Fast to furious... thank you Flipkart 👍,0.0,Neutral
5,Just wow!,Amazing!pictures...📸 everything good 😍,0.125,Positive
5,Classy product,Camera is superb.nice phone,0.1,Positive
5,Just wow!,"I used iPhone 12 mini and now upgraded with iPhone 14.
Camera quality is awesome.
Full day battery backup.
Super Retina display with high dynamic range is awesome.

In terms of camera and battery life is big upgrade for me.",0.125,Positive
5,Excellent,Finally got an iPhone. Love the camera.,1.0,Positive
5,Perfect product!,Super camera.,1.0,Positive
4,Good choice,Unboxing overall good experience 😊,0.7,Positive
5,Must buy!,After a losts of efforts when you get then Just Awesome 😊,0.0,Neutral
5,Highly recommended,Ultimate,0.16,Positive
5,Wonderful,"Amazing product, love the design and the feel is awesome
Performance is very smooth.",1.0,Positive
5,Mind-blowing purchase,Amazing device for daily life about camera about sound quality all are good,0.0,Neutral
4,Good quality product,Nice look badiya phone after one year use great working,0.7,Positive
5,Terrific purchase,Just wow😍😘,0.0,Neutral
5,Terrific,"I bought iPhone 14 in big billion days. Very happy. Excellent Product delivery
Excellent haptics
Excellent Performance
Excellent Camera
Excellent In hand feel
Excellent Eco System if u have other apple products
❤️ From Ooty

Thank you Flipkart for the big billion days 🎉",0.0,Neutral
5,Must buy!,"Just awesome!!
I switch to iPhone 14 from iPhone 12. The powerful chipset gives you smooth performance. No lags, no fancy UI, just delivers the best of it.

Camera is best. Battery giving a full day. Speaker sounds wide and clear.

Must buy!!",0.0,Neutral
5,Simply awesome,Excellent build quality. Much faster and smoother,1.0,Positive
5,Classy product,"Very attractive
Must buy
Love It❤️❤️",0.1,Positive
5,Super!,Absolutely Awesome,0.41666666666666663,Positive
5,Super!,Great picture quality. Performance is good as always. The important addition is the cinematographic video recording,0.41666666666666663,Positive
5,Wonderful,Excellent Product 🥳,1.0,Positive
5,Mind-blowing purchase,Excellent camera😊,0.0,Neutral
5,Excellent,awesome build quality and features,1.0,Positive
5,Super!,Really an overall great product,0.41666666666666663,Positive
5,Terrific,Awesome device form apple just go for it and main point is Flipkart delivery facility is best.,0.0,Neutral
5,Fabulous!,"Happy to have iPhone 14. Wonderful phone specially because of Powerful camera😍, perfect screen size and potentially battery life make it worthy.",0.5,Positive
