,rating,review_title,review_content
0,5,Simply awesome,"Loved the version...
The camera is top notch, and has excellent performance...."
1,5,Awesome,Good Phone camera superb
2,5,Best in the market!,GREAT PHONE WITH BEST CAMERA
3,5,Worth every penny,"As you know its a Vivo V series phone, the performance is good at this segment.
But this time cameras 📸📸 have been improved by Vivo resulting to getting outstanding photos..
Battery is also good, lasts a day moderate usage..
Display is also good ...
Slim and light weight..
Overall a beast product...."
4,4,Nice product,Overall above average performance but don't expect smoothness and camera sharpness as from other premium brands high end phones..
5,5,Fabulous!,"Awesome camera quality.. loved it.. 😍
Worth for money"
6,4,Wonderful,"Camera, performance ,looks, display are very good.
Duel stereo speakers sound is awesome.
Being 5500mah battery should not giving equal back up like other mobile of same capacity battery. Wireless charging and IR blaster are not available in this mobile😒😒. Overall 4.6 out of 5 from me."
7,5,Highly recommended,"Excellent Phone, Nice display and performance.."
8,5,Fabulous!,Good camera and phone
9,4,Worth the money,Heating issue with this phone.. excellent photos.. but phone heat very Bradley while takes photos... Be careful before buying
10,5,Simply awesome,Super Camera. Great DSLR like picture. Great design and Good performance. Good Battery back up. Overall all 10/10. Just go for it 👍
11,4,Very good camera centric smartphone,"Excellent camera smartphone in this price range. Display is also very good. I reduced one star because, haptic feedback is not good and absence of Dolby atoms make a big difference. it doesn't feel like it as stereo speakers.
My opinion is those who are looking for good camera phone, definitely can consider this Vivo v40 pro model"
12,5,Worth every penny,"Portrait is master level...performance is smoother than butter...no heating issue...very slim design...after using realme I'm satisfied with this design... display size is huge and quality is excellent...sound is loud...

Battery is good (average), I can spend my whole duty time, don't need to charge...after coming back to room it needed to get charged....

Overall experience is excellent...I'm satisfied with the product under 50k...."
13,4,Nice product,"Value for money,Overall excellent camera performance,but lacking consistency in some scenarios. Battery and perfomance side too are brilliant .."
14,5,Classy product,Best for photography 😍
15,5,Must buy!,"Bought this phone over Samsung galaxy s23 for the purpose of photography only. Surprisingly it can clicks awesome eye pleasing portraits with ample amount of detailing in 50mm although it loses details in 85mm. The front portraits are inconsistent. Aura light works effectively well in low light flash.
Videography could have been more stabilized in 4K.

Camera ⭐⭐⭐⭐ 4*
Battery backup ⭐⭐⭐⭐⭐5*
Display ⭐⭐⭐⭐⭐5*
Speaker ⭐⭐⭐⭐4*
Call Quality ⭐⭐⭐⭐⭐5*
Touch response ⭐⭐⭐⭐⭐5*
Haptics ⭐⭐⭐3*
Others- sat...
READ MORE"
16,5,Awesome,"Best camera quality mobile bcz off zeiss. Battery performance is awesome.but some heat issue problem. Mobile design and performance is excellent.This is not a gaming mobile. But for study this is excellent. You can buy this.
Camera :- 10/10
Battery:- 10/10
Design:- 9/10
Performance:- 10/10
Thanking you......❤️❤️❤️"
17,5,Great product,"👌 The best camera performance and nice video recording
( Pro quality camera phone )"
18,5,Terrific purchase,Super 👍
19,5,Mind-blowing purchase,Camera quality is excellent
20,5,Worth every penny,Excellent Camera phone thought it is quite expensive than other similar smartphones
21,5,Brilliant,One of the best Mobile and camera quality awesome 🥰
22,5,Just wow!,Value for money 💰😄 Good camera quality faster delivery 🚚 happy for that thank you Flipkart
23,4,Delightful,All good
24,5,Best in the market!,Excellent Performance ✅
25,4,Worth the money,Best phone in this segment 😁
26,5,Highly recommended,"Amazing camera and feels premium, call quality is awesome. stable 5g with good internet speed in comparison to my previous phone. Battery backup easily last more than a day in regular use. Mobile tends to heat up while taking multiple photos, videos that leads to battery drain. Charging takes upto 50 minutes. Heptic feedback should have little strong. Overall a above average device from Vivo 👍"
27,5,Best in the market!,"I was a little bit sceptical about the product before buying, but now it's a great companion. My work is generally on field studies and as such, photos(good ones) are an irreplaceable part. Canara quantity is superb along with the battery life."
28,4,Good quality product,Best cemara mo
29,5,Just wow!,"Awesome product. Best display, best camera
battery backup best Colour Design Camera
Processor Memory RAM Everything is absolutely
stunning. It is also good to look at. I liked it.
But price high"
30,5,Terrific,Very good
31,5,Just wow!,Nyc product
32,5,Mind-blowing purchase,"Best camera phone, performance is very good, battery performance very good, enough for the day, no need to carry charger to the office. Value for money. As usual Vivo is known for the camera. Didn't disappoint."
33,5,Highly recommended,😍 simple awesome 😍
34,5,Highly recommended,"Phone is amazing. Good camera and battery lasts for more than one day with regular use.
Performance is smooth."
35,5,Perfect product!,Camera quality is awesome
36,5,Fabulous!,Very nice
37,5,Must buy!,Superb camera and also mobile perfomance super ovaer all mobile good
38,5,Perfect product!,"As per my opinion after using it, I found it satisfactory in terms of camera, performers, looks, and what Vivo upgraded from the previous model. Thumbs up from my side 👍"
39,3,Fair,The sound is very low don't expect too much oppo is far better than this product
40,5,Perfect product!,Nice👍 work vivo.
41,4,Good choice,Value for money
42,4,Nice product,Very good
43,5,Wonderful,Camera very good
44,4,Pretty good,Camera 📸 A1🔥🔥
45,5,Worth every penny,Excellent experience. Worthy !!
46,1,Worthless,I don't like
47,5,Simply awesome,Super mobile
48,4,Wonderful,Like it☺️
49,3,Does the job,good
50,5,Highly recommended,Very good
51,5,Must buy!,Best smartphone in this range
52,5,Super!,Great phone
53,5,Perfect product!,Camera superb quality pic and good display
54,5,Simply awesome,Exellent...
55,5,Terrific,Super
56,5,Terrific,One of the best phone under 50k currently
57,5,Terrific purchase,Nice mobile phone great camera
58,5,Fabulous!,Osam vivo v40 pro
59,5,Wonderful,I love this phone. Just awesome 😍👍
60,5,Super!,"Superb performance display, camera, battery, user interface ect ."
61,5,Terrific,osm.camera and performance...but charging speed is slow
62,5,Highly recommended,"Camera 10
Battery 9
Display 10
Performance 9"
63,5,Terrific purchase,Nice phone
64,5,Must buy!,Excellent performance
65,5,Excellent,Very nice product Vivo v40 pro camera amazing
66,5,Awesome,Must
67,5,Wonderful,Very good 👍
68,5,Best in the market!,Good Looking display
69,5,Great product,AMAZING
70,5,Awesome,Very good phone at this price range.
71,5,Simply awesome,Super 💯
72,5,Worth every penny,Phone is superb
73,1,Waste of money!,"Seller service very bad 0 out 5
Phone everything is perfect
Camera processer display sound too much excellent and beat all previous generation."
74,5,Excellent,Nice look and nice product
